rank,row,col,bf16_source,python_faithful,arle_cuda,cuda_vs_python_abs,cuda_vs_python_rel
42,2,257,0.00360107421875,0.0040740263648331165,0.004058837890625,1.5188474208116531e-05,0.003728123614564538
43,7,3332,0.00677490234375,0.008086726069450378,0.008056640625,3.0085444450378418e-05,0.0037203491665422916
44,2,368,0.00160980224609375,0.001018549664877355,0.0010223388671875,3.7892023101449013e-06,0.0037201938685029745
45,6,3238,-0.00469970703125,-0.004043800290673971,-0.004058837890625,1.5037599951028824e-05,0.0037186802364885807
46,3,3597,0.00848388671875,0.008148422464728355,0.0081787109375,3.0288472771644592e-05,0.003717096522450447
47,7,3317,0.0157470703125,0.01605365239083767,0.01611328125,5.962885916233063e-05,0.0037143484223634005
48,7,1942,-0.0167236328125,-0.016050809994339943,-0.0159912109375,5.959905683994293e-05,0.0037131495773792267
49,6,1060,0.00128173828125,0.002006351249292493,0.0019989013671875,7.4498821049928665e-06,0.0037131495773792267
50,7,878,0.00130462646484375,1.5435294699273072e-05,1.537799835205078e-05,5.729634722229093e-08,0.0037120345514267683
51,5,1468,-0.0089111328125,-0.008148465305566788,-0.0081787109375,3.024563193321228e-05,0.003711819415912032
52,7,3506,0.0174560546875,0.015805715695023537,0.0157470703125,5.864538252353668e-05,0.003710390767082572
53,3,2153,0.0179443359375,0.01641833409667015,0.016357421875,6.091222167015076e-05,0.0037100124172866344
54,3,2998,-0.0162353515625,-0.016296984627842903,-0.016357421875,6.043724715709686e-05,0.0037084927316755056
55,0,2172,-0.0155029296875,-0.015810519456863403,-0.015869140625,5.862116813659668e-05,0.003707731841132045
56,6,53,0.000701904296875,0.001975706312805414,0.0019683837890625,7.3225237429142e-06,0.003706281539052725
57,5,362,-0.03271484375,-0.032346419990062714,-0.0322265625,0.00011985749006271362,0.0037054328713566065
58,2,2451,-0.016357421875,-0.01568310149013996,-0.015625,5.810149013996124e-05,0.003704719478264451
59,0,1613,-0.0166015625,-0.01605384051799774,-0.01611328125,5.94407320022583e-05,0.003702586516737938
60,2,1616,-0.0159912109375,-0.01617315225303173,-0.01611328125,5.987100303173065e-05,0.0037018759176135063
61,4,2357,0.003936767578125,0.003922256641089916,0.003936767578125,1.451093703508377e-05,0.0036996398121118546
62,4,3409,0.0096435546875,0.008025295101106167,0.00799560546875,2.968963235616684e-05,0.0036995066329836845
63,6,2552,0.00982666015625,0.007844531908631325,0.00787353515625,2.9003247618675232e-05,0.0036972565576434135
64,3,2118,0.0081787109375,0.007844540290534496,0.00787353515625,2.8994865715503693e-05,0.003696184139698744
65,5,1676,0.0019989013671875,0.0020523564890027046,0.0020599365234375,7.58003443479538e-06,0.0036933321971446276
66,3,1241,-0.0035247802734375,-0.003922281786799431,-0.003936767578125,1.4485791325569153e-05,0.0036932050716131926
67,4,1012,-0.006805419921875,-0.008209023624658585,-0.0081787109375,3.0312687158584595e-05,0.0036926057655364275
68,4,3121,-0.0068359375,-0.00392072694376111,-0.00390625,1.4476943761110306e-05,0.0036924132145941257
69,3,2788,-0.01611328125,-0.01617562584578991,-0.0162353515625,5.972571671009064e-05,0.0036923279985785484
70,4,890,0.0162353515625,0.015805423259735107,0.0157470703125,5.835294723510742e-05,0.0036919573321938515
71,4,1313,-0.00823974609375,-0.008086495101451874,-0.008056640625,2.985447645187378e-05,0.0036918933037668467
72,5,2914,0.017333984375,0.01605401188135147,0.01611328125,5.926936864852905e-05,0.003691872814670205
73,1,3832,-0.016845703125,-0.01617567054927349,-0.0162353515625,5.9681013226509094e-05,0.0036895542871207
74,7,2170,-0.015625,-0.01629546470940113,-0.0162353515625,6.0113146901130676e-05,0.0036889496259391308
75,0,3809,-0.032958984375,-0.03259091079235077,-0.032470703125,0.00012020766735076904,0.0036883801221847534
76,5,835,-0.001708984375,-0.0009954894194379449,-0.0009918212890625,3.668130375444889e-06,0.003684750758111477
77,0,1573,-0.0181884765625,-0.016050346195697784,-0.0159912109375,5.9135258197784424e-05,0.0036843603011220694
78,6,1357,-0.015380859375,-0.016175754368305206,-0.0162353515625,5.95971941947937e-05,0.0036843533162027597
79,3,2390,0.000431060791015625,-0.0002450427564326674,-0.000244140625,9.021314326673746e-07,0.003681526519358158
80,5,3219,0.00958251953125,0.007966290228068829,0.00799560546875,2.9315240681171417e-05,0.0036799111403524876
81,7,1141,-0.0167236328125,-0.015932586044073105,-0.0159912109375,5.862489342689514e-05,0.003679559100419283
82,4,3490,0.00634765625,0.008147642016410828,0.00811767578125,2.9966235160827637e-05,0.0036779027432203293
83,5,1436,0.0159912109375,0.016540322452783585,0.0164794921875,6.0830265283584595e-05,0.0036776952911168337
84,6,2510,0.01483154296875,0.016050191596150398,0.0159912109375,5.8980658650398254e-05,0.003674763487651944
85,4,427,0.016845703125,0.016054285690188408,0.01611328125,5.89955598115921e-05,0.0036747546400874853
86,6,392,-0.017333984375,-0.016175929456949234,-0.0162353515625,5.942210555076599e-05,0.00367348943836987
87,7,3935,-0.0128173828125,-0.015689454972743988,-0.0157470703125,5.761533975601196e-05,0.0036722333170473576
88,2,3341,0.016357421875,0.0158050786703825,0.0157470703125,5.8008357882499695e-05,0.0036702353972941637
89,2,1932,-0.004638671875,-0.003983190283179283,-0.003997802734375,1.4612451195716858e-05,0.003668529447168112
90,5,250,-0.003631591796875,-0.00398319773375988,-0.003997802734375,1.4605000615119934e-05,0.0036666521336883307
91,6,1806,-0.003265380859375,-0.0020521990954875946,-0.002044677734375,7.5213611125946045e-06,0.0036650251131504774
92,5,154,0.01708984375,0.015811236575245857,0.015869140625,5.790404975414276e-05,0.00366220879368484
93,5,3996,0.01531982421875,0.01568961702287197,0.0157470703125,5.745328962802887e-05,0.0036618669982999563
94,0,1779,0.00775146484375,0.008331323973834515,0.00836181640625,3.0492432415485382e-05,0.003659974317997694
95,7,3200,-0.0034637451171875,-0.004135004244744778,-0.004119873046875,1.513119786977768e-05,0.0036592944525182247
96,3,355,-0.00347900390625,-0.004044040106236935,-0.004058837890625,1.4797784388065338e-05,0.0036591587122529745
97,1,2326,-0.0034942626953125,-0.0019612079486250877,-0.0019683837890625,7.175840437412262e-06,0.0036588881630450487
98,2,1894,-0.004791259765625,-0.004044045228511095,-0.004058837890625,1.4792662113904953e-05,0.0036578874569386244
99,5,3322,-0.002197265625,-0.00407445291057229,-0.00408935546875,1.490255817770958e-05,0.0036575605627149343
100,7,243,0.0025787353515625,0.002082809340208769,0.0020751953125,7.614027708768845e-06,0.0036556527484208345
101,2,1767,-0.0009765625,-0.0009801420383155346,-0.0009765625,3.5795383155345917e-06,0.0036520608700811863
102,0,380,-0.004913330078125,-0.004012455232441425,-0.003997802734375,1.4652498066425323e-05,0.003651753766462207
103,6,3317,0.0172119140625,0.01666240580379963,0.0166015625,6.084330379962921e-05,0.003651531646028161
104,5,1092,0.00799560546875,0.007966521196067333,0.00799560546875,2.908427268266678e-05,0.0036508121993392706
105,1,1452,-0.00162506103515625,-0.0010186214931309223,-0.0010223388671875,3.7173740565776825e-06,0.0036494163796305656
