timestamp_ms,memory_used_mib,memory_total_mib,utilization_gpu_pct,power_draw_w,temperature_gpu_c
1779365450068,955, 16376, 0, 11.16, 35
1779365452104,955, 16376, 0, 11.11, 35
1779365454141,955, 16376, 0, 11.11, 35
1779365456179,955, 16376, 0, 11.11, 35
1779365458215,955, 16376, 0, 11.12, 35
1779365460252,955, 16376, 0, 11.12, 35
1779365462288,955, 16376, 0, 11.11, 35
1779365464324,955, 16376, 0, 11.12, 35
1779365466360,955, 16376, 0, 11.11, 35
1779365468396,1182, 16376, 0, 11.15, 35
1779365470428,1182, 16376, 0, 11.14, 35
1779365472466,1182, 16376, 0, 11.12, 35
1779365474504,1182, 16376, 0, 11.14, 35
1779365476539,1182, 16376, 0, 11.13, 35
1779365478578,1182, 16376, 0, 11.12, 35
1779365480612,3214, 16376, 7, 16.62, 36
1779365482650,5166, 16376, 13, 29.57, 35
1779365484683,5326, 16376, 0, 12.14, 35
1779365486716,5518, 16376, 0, 11.16, 35
1779365488750,5678, 16376, 0, 11.11, 35
1779365490783,5742, 16376, 0, 11.10, 35
1779365492816,5774, 16376, 0, 11.11, 35
1779365494851,5806, 16376, 0, 11.11, 35
1779365496882,5934, 16376, 0, 11.10, 35
1779365498919,6062, 16376, 0, 11.12, 35
1779365500961,6222, 16376, 8, 11.12, 35
1779365502994,6414, 16376, 0, 11.12, 35
1779365505030,6478, 16376, 0, 11.18, 35
1779365507064,6510, 16376, 0, 11.14, 35
1779365509095,6510, 16376, 0, 11.12, 35
1779365511125,6702, 16376, 23, 11.14, 35
1779365513158,6766, 16376, 0, 11.11, 35
1779365515191,6926, 16376, 0, 11.13, 35
1779365517225,7118, 16376, 0, 11.11, 35
1779365519258,7182, 16376, 0, 11.16, 35
1779365521290,7214, 16376, 0, 11.22, 35
1779365523319,7246, 16376, 0, 11.19, 35
1779365525349,7406, 16376, 23, 11.12, 35
1779365527383,7470, 16376, 0, 11.11, 35
1779365529416,7662, 16376, 0, 11.11, 35
1779365531450,7854, 16376, 0, 11.12, 35
1779365533486,7886, 16376, 0, 11.12, 35
1779365535521,7918, 16376, 0, 11.11, 35
1779365537553,7950, 16376, 0, 11.11, 35
1779365539587,8142, 16376, 0, 11.12, 35
1779365541621,8174, 16376, 0, 11.13, 35
1779365543657,8366, 16376, 0, 11.13, 35
1779365545692,8558, 16376, 0, 11.13, 35
1779365547728,8622, 16376, 0, 11.16, 35
1779365549764,8622, 16376, 0, 11.12, 35
1779365551795,8654, 16376, 0, 11.13, 35
1779365553825,8846, 16376, 0, 11.15, 35
1779365555861,8910, 16376, 0, 11.17, 35
1779365557898,9102, 16376, 0, 11.35, 35
1779365559935,9262, 16376, 0, 11.23, 35
1779365561971,9326, 16376, 0, 11.12, 35
1779365564007,9358, 16376, 0, 11.13, 35
1779365566039,9390, 16376, 0, 11.12, 35
1779365568070,9550, 16376, 0, 11.12, 35
1779365570104,9614, 16376, 0, 11.13, 35
1779365572136,9774, 16376, 0, 11.12, 35
1779365574178,9966, 16376, 5, 11.12, 35
1779365576282,9998, 16376, 0, 11.12, 35
1779365578317,10062, 16376, 0, 11.16, 35
1779365580351,10062, 16376, 0, 11.15, 35
1779365582383,10126, 16376, 9, 11.14, 35
1779365584416,10286, 16376, 9, 11.16, 35
1779365586450,10478, 16376, 10, 11.13, 35
1779365588516,10510, 16376, 3, 11.15, 35
1779365590550,10702, 16376, 0, 11.15, 35
1779365592622,10734, 16376, 0, 11.16, 35
1779365594658,10766, 16376, 0, 11.32, 35
1779365596690,10766, 16376, 0, 11.24, 35
1779365598721,10926, 16376, 6, 11.12, 35
1779365600756,12582, 16376, 100, 149.21, 52
1779365602786,12582, 16376, 0, 82.72, 38
1779365604821,13510, 16376, 0, 19.48, 36
1779365606859,14022, 16376, 4, 14.48, 36
1779365608893,14598, 16376, 9, 11.39, 36
1779365610931,15174, 16376, 16, 11.31, 36
1779365612969,15494, 16376, 100, 161.79, 47
1779365614997,15494, 16376, 26, 186.72, 54
1779365617027,15494, 16376, 53, 205.69, 54
1779365619054,15494, 16376, 100, 213.59, 56
1779365621085,15494, 16376, 100, 211.17, 56
1779365623113,15494, 16376, 100, 208.39, 56
1779365625143,15494, 16376, 100, 211.28, 57
1779365627173,15526, 16376, 100, 200.18, 57
1779365629206,15494, 16376, 100, 206.71, 57
1779365631236,15462, 16376, 7, 170.56, 43
1779365633266,15814, 16376, 9, 40.75, 39
