rank,row,col,bf16_source,python_faithful,arle_cuda,cuda_vs_python_abs,cuda_vs_python_rel
54,6,835,-0.00689697265625,-0.00827149860560894,0.00830078125,0.01657227985560894,2.003540277481079
55,6,3322,0.00927734375,0.00857560709118843,-0.00860595703125,0.01718156412243843,2.0035390853881836
56,7,624,-0.00104522705078125,0.0005017664516344666,-0.0005035400390625,0.0010053064906969666,2.0035347938537598
57,3,3810,-0.0035247802734375,-0.00395331671461463,0.00396728515625,0.007920602336525917,2.003533363342285
58,4,109,0.01611328125,0.01678650453686714,-0.016845703125,0.03363220766186714,2.003526449203491
59,4,3469,-0.0162353515625,-0.01739507168531418,0.0174560546875,0.03485112637281418,2.0035057067871094
60,5,838,0.00738525390625,0.008393427357077599,-0.0084228515625,0.0168162789195776,2.0035057067871094
61,1,3409,-0.00885009765625,-0.008150152862071991,0.0081787109375,0.01632886379957199,2.0035040378570557
62,7,3767,-0.00836181640625,-0.008636784739792347,0.0086669921875,0.017303775995969772,2.003497362136841
63,2,41,0.00970458984375,0.007906940765678883,-0.0079345703125,0.015841510146856308,2.0034942626953125
64,1,747,0.000949859619140625,0.0021592038683593273,-0.002166748046875,0.004325951915234327,2.0034940242767334
65,5,2544,-0.000522613525390625,-0.0010720029240474105,0.00107574462890625,0.0021477476693689823,2.003490447998047
66,5,445,0.0022125244140625,0.0020527727901935577,-0.0020599365234375,0.004112709313631058,2.0034897327423096
67,6,4049,-0.016845703125,-0.016908816993236542,0.0169677734375,0.03387659043073654,2.0034866333007812
68,7,823,0.0019989013671875,0.002037574304267764,-0.002044677734375,0.004082252271473408,2.003486394882202
69,5,3762,0.0174560546875,0.01642225868999958,-0.0164794921875,0.03290174901485443,2.0034849643707275
70,5,2553,0.0081787109375,0.008576160296797752,-0.00860595703125,0.017182117328047752,2.003474473953247
71,2,2192,0.006683349609375,0.0043184952810406685,-0.00433349609375,0.008651991374790668,2.0034735202789307
72,4,1615,-0.032470703125,-0.03211507946252823,0.0322265625,0.06434164196252823,2.0034713745117188
73,0,2180,-0.007415771484375,-0.00790712982416153,0.0079345703125,0.01584170013666153,2.0034704208374023
74,5,2644,0.01708984375,0.01630086451768875,-0.016357421875,0.03265828639268875,2.003469705581665
75,1,281,-0.0025177001953125,-0.004166474565863609,0.004180908203125,0.00834738276898861,2.0034642219543457
76,7,2217,0.00885009765625,0.00857625249773264,-0.00860595703125,0.017182208597660065,2.0034635066986084
77,5,1481,0.006134033203125,0.003923188429325819,-0.003936767578125,0.007859956473112106,2.0034613609313965
78,5,3625,0.00180816650390625,0.004348980728536844,-0.004364013671875,0.008712993934750557,2.0034565925598145
79,7,2100,0.0036773681640625,0.003984034061431885,-0.003997802734375,0.007981836795806885,2.003455877304077
80,2,951,0.00131988525390625,0.0019768138881772757,-0.001983642578125,0.003960456699132919,2.0034544467926025
81,5,1904,0.00872802734375,0.008758805692195892,-0.0087890625,0.017547868192195892,2.0034544467926025
82,1,2402,-0.0068359375,-0.008333045989274979,0.00836181640625,0.01669486239552498,2.0034525394439697
83,1,3497,0.0089111328125,0.008454735390841961,-0.00848388671875,0.016938623040914536,2.003448009490967
84,7,2223,0.0169677734375,0.015936385840177536,-0.0159912109375,0.031927596777677536,2.0034401416778564
85,4,1492,-0.00518798828125,-0.00395368505269289,0.00396728515625,0.00792097020894289,2.0034399032592773
86,2,3532,-0.000804901123046875,-0.002068090485408902,0.0020751953125,0.0041432855650782585,2.0034353733062744
87,0,2678,-0.006561279296875,-0.008029069751501083,0.008056640625,0.016085710376501083,2.0034339427948
