timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 11:28:50.846, 13159 MiB, 2785 MiB, 12 %
2026/05/22 11:28:51.846, 13319 MiB, 2625 MiB, 2 %
2026/05/22 11:28:52.846, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:28:53.846, 12711 MiB, 3233 MiB, 0 %
2026/05/22 11:28:54.847, 12903 MiB, 3041 MiB, 13 %
2026/05/22 11:28:55.847, 13127 MiB, 2817 MiB, 100 %
2026/05/22 11:28:56.847, 13127 MiB, 2817 MiB, 0 %
2026/05/22 11:28:57.847, 12647 MiB, 3297 MiB, 0 %
2026/05/22 11:28:58.847, 12871 MiB, 3073 MiB, 28 %
2026/05/22 11:28:59.848, 13095 MiB, 2849 MiB, 30 %
2026/05/22 11:29:00.848, 13255 MiB, 2689 MiB, 100 %
2026/05/22 11:29:01.848, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:29:02.848, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:29:03.848, 12647 MiB, 3297 MiB, 0 %
2026/05/22 11:29:04.849, 12839 MiB, 3105 MiB, 12 %
2026/05/22 11:29:05.849, 13095 MiB, 2849 MiB, 9 %
2026/05/22 11:29:06.849, 13351 MiB, 2593 MiB, 53 %
2026/05/22 11:29:07.849, 13351 MiB, 2593 MiB, 0 %
2026/05/22 11:29:08.849, 13351 MiB, 2593 MiB, 0 %
2026/05/22 11:29:09.850, 12807 MiB, 3137 MiB, 9 %
2026/05/22 11:29:10.850, 13031 MiB, 2913 MiB, 7 %
2026/05/22 11:29:11.850, 13191 MiB, 2753 MiB, 100 %
2026/05/22 11:29:12.850, 13319 MiB, 2625 MiB, 1 %
2026/05/22 11:29:13.850, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:29:14.851, 12743 MiB, 3201 MiB, 13 %
2026/05/22 11:29:15.851, 12999 MiB, 2945 MiB, 10 %
2026/05/22 11:29:16.851, 13223 MiB, 2721 MiB, 100 %
2026/05/22 11:29:17.851, 13223 MiB, 2721 MiB, 0 %
2026/05/22 11:29:18.851, 12647 MiB, 3297 MiB, 1 %
2026/05/22 11:29:19.852, 12871 MiB, 3073 MiB, 9 %
2026/05/22 11:29:20.852, 13095 MiB, 2849 MiB, 19 %
2026/05/22 11:29:21.852, 13255 MiB, 2689 MiB, 100 %
2026/05/22 11:29:22.852, 13415 MiB, 2529 MiB, 1 %
2026/05/22 11:29:23.852, 13415 MiB, 2529 MiB, 1 %
2026/05/22 11:29:24.853, 12679 MiB, 3265 MiB, 14 %
2026/05/22 11:29:25.853, 12903 MiB, 3041 MiB, 9 %
2026/05/22 11:29:26.853, 13127 MiB, 2817 MiB, 62 %
2026/05/22 11:29:27.853, 13255 MiB, 2689 MiB, 0 %
2026/05/22 11:29:28.853, 13255 MiB, 2689 MiB, 1 %
2026/05/22 11:29:29.854, 12743 MiB, 3201 MiB, 7 %
2026/05/22 11:29:30.854, 12967 MiB, 2977 MiB, 7 %
2026/05/22 11:29:31.854, 13223 MiB, 2721 MiB, 8 %
2026/05/22 11:29:32.854, 13415 MiB, 2529 MiB, 6 %
2026/05/22 11:29:33.854, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:29:34.855, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:29:35.855, 12839 MiB, 3105 MiB, 9 %
2026/05/22 11:29:36.855, 13095 MiB, 2849 MiB, 9 %
